lemma,part_of_speech,absolute_frequency
CHOLANGITIS,PROPN,2
CHOLESTATIC,PROPN,1
CHOLESTEROL,PROPN,1
CHOROID,PROPN,2
CHOROIDITIS,PROPN,1
CHROMOSOMAL,PROPN,1
CHROMOSOME,PROPN,4
CHROMOSOMES,PROPN,4
CHRONIC,PROPN,2
CIN,PROPN,4
CIRRHOSIS,PROPN,1
CK,PROPN,1
CLAVULANIC,PROPN,1
CLITORIS,PROPN,1
CLL,PROPN,1
CLOSED,PROPN,1
CLOSTRIDIUM,NOUN,1
CLOSURE,PROPN,1
CML,PROPN,1
CMV,PROPN,2
CNRI,PROPN,10
CNS,PROPN,25
CO,PROPN,5
COCCUS,PROPN,1
COCKAYNE,PROPN,1
COLESTYRAMINE,NOUN,1
COLOUR,PROPN,4
COLOURVISION,PROPN,1
COMPATIBILITY,NOUN,1
COMPLEX,NOUN,1
COMPLICATIONS,PROPN,5
COMPUTER,PROPN,1
CONDOM,PROPN,3
CONDUIT,PROPN,1
CONGENITAL,VERB,3
CONJUNCTIVA,PROPN,2
CONSULTING,PROPN,1
CONTACT,NOUN,1
CONTACT,PROPN,1
CONTRACEPTION,PROPN,1
CONTRACTURE,PROPN,1
CONTRIBUTORS,PROPN,1
CONTROL,PROPN,3
CORD,PROPN,1
CORN,NOUN,1
CORNEA,PROPN,3
CORONARY,PROPN,1
CORROSIVE,PROPN,1
CORTEX,PROPN,1
COSHH,PROPN,1
COSMETIC,PROPN,1
COX,PROPN,2
CPAP,PROPN,2
CPPV,PROPN,2
CRANDALL,PROPN,1
CRANIAL,PROPN,2
CRI,PROPN,1
CRISIS,PROPN,1
CROWNS,PROPN,1
CRUCIATE,PROPN,1
CS,PROPN,4
CSF,PROPN,1
CT,PROPN,66
CTG,PROPN,1
CTscanning,PROPN,12
CTscans,PROPN,1
CUSHING,PROPN,1
CVP,PROPN,1
CVS,PROPN,4
CWP,PROPN,1
CYST,PROPN,1
CYSTINOSIS,PROPN,1
CYSTINURIA,PROPN,1
CYTOLOGY,PROPN,1
Ca,PROPN,2
Cacchione,PROPN,2
Cafe,PROPN,2
Calabar,PROPN,1
Calamine,PROPN,1
Calcaneus,PROPN,1
Calcinosis,PROPN,2
Calcitonin,PROPN,2
Calcium,PROPN,1
California,PROPN,2
Calmette,PROPN,3
Calnan,PROPN,1
Calpol,PROPN,1
Calve,PROPN,1
Calymmatobacterium,PROPN,1
Camazine,PROPN,1
Cameron,PROPN,1
Campbell,PROPN,5
Campylobacter,PROPN,2
Canada,PROPN,1
Canaliculi,PROPN,1
Cancer,PROPN,1
Candesartan,PROPN,2
Candida,PROPN,6
Canister,PROPN,1
Cannabis,PROPN,2
Canned,PROPN,1
Cape,PROPN,1
Capgras,PROPN,2
Caplan,PROPN,2
Capsid,NOUN,2
Capsule,PROPN,2
Captopril,PROPN,2
Carbamazepine,PROPN,1
Carbaryl,PROPN,1
Carbimazole,PROPN,4
Carbocisteine,PROPN,1
Carbohydrate,PROPN,1
Carboplatin,PROPN,1
